Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Method.of.detection,Pathogen,Tick.hosts,Hosts.studied,Genospecies.identification,Larvae.tested,Larvae.positive,Larval.infection.prevalence,Nymphs.tested,Nymphs.positive,Nymphal.infection.prevalence,Adults.tested,Adults.positive,Adult.infection.prevalence,Hosts.with.infected.ticks,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.BH,Same.reference,Multiple.species,Notes,Birds,Additional.data.email,Total.ticks.tested,Total.ticks.positive,Total.ticks.infection.prevalence,Data.collection,Double.ext
449,"Palomar et al., 2017","Santa Eulalia, La Rioja ",Spain,No,NA,2009-2011,Common chiffchaff,Phylloscopus collybita,Bird,Scientific capturing,Nested PCR,Borellia spp. ,1,2,NA,1,0,0.00,0,NA,NA,0,NA,NA,0,No,NA,No,NA,No,,Migratory birds,Yes,,,,L,No
450,"Palomar et al., 2017","Santa Eulalia, La Rioja ",Spain,No,NA,2009-2011,Eurasian blackcap,Sylvia atricapilla,Bird,Scientific capturing,Nested PCR,Borellia spp. ,2,27,NA,2,0,0.00,0,NA,NA,0,NA,NA,0,No,NA,No,NA,No,,Migratory birds,Yes,,,,L,No
451,"Palomar et al., 2017","Santa Eulalia, La Rioja ",Spain,No,NA,2009-2011,Common blackbird,Turdus merula,Bird,Scientific capturing,Nested PCR,Borellia spp. ,2,24,Yes,0,NA,NA,2,2,1.00,0,NA,NA,2,No,NA,No,NA,No,,Migratory birds,Yes,,,,L,No
452,"Pascucci et al., 2019",Ventotene Island (40°48'0”N 13°26'0”E),Italy,No,NA,2nd of April - 22nd of May 2013,Aves spp.,Aves spp.,Bird,Scientific capturing,Real-time PCR,B. burgdorferi s.l.,NA,3444,NA,0,NA,NA,3,0,0.00,0,NA,NA,NA,No,NA,T,"Pascucci et al., 2019",Yes,Species: at least 26 different species,Migratory birds,No,,,,L,No
453,"Pereira et al., 2018","Beja (38° 1′ 20.892′′N, 7° 57′ 31.202′′W) ",Portugal,No,NA,December 2013 - September 2015,European hare,Lepus europaeus,Mammal,Rescue animals,PCR,B. burgdorferi s.l.,1,15,NA,0,NA,NA,0,NA,NA,3,0,0.00,NA,No,NA,No,NA,No,,No birds,Yes,,,,L,No
454,"Pereira et al., 2018","Beja (38° 1′ 20.892′′N, 7° 57′ 31.202′′W) ",Portugal,No,NA,December 2013 - September 2015,European rabbit,Oryctolagus cuniculus,Mammal,Rescue animals,PCR,B. burgdorferi s.l.,6,49,NA,0,NA,NA,0,NA,NA,12,0,0.00,NA,No,NA,No,NA,No,,No birds,Yes,,,,L,No
455,"Pereira et al., 2018","Lisboa (38° 44′ 37.463′′N, 9° 13′48.878′′W)",Portugal,No,NA,December 2013 - September 2015,Wild boar,Sus scrofa,Mammal,Rescue animals,PCR,B. burgdorferi s.l.,3,11,NA,0,NA,NA,0,NA,NA,3,0,0.00,NA,No,NA,No,NA,No,,No birds,Yes,,,,L,No
456,"Pérez et al., 2012",Switzerland,Switzerland,No,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,527,123,0.23,49,23,0.47,0,NA,NA,,,,,,No,,No birds,,576,146,0.25,H,Yes
457,"Pérez et al., 2012",Switzerland,Switzerland,No,,,Long-tailed field mouse,Apodemus sylvaticus,Mammal,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,197,63,0.32,18,12,0.67,0,NA,NA,,,,,,No,,No birds,,215,75,0.35,H,Yes
458,"Pérez et al., 2012",Switzerland,Switzerland,No,,,Bank vole,Myodes glareolus,Mammal,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,268,72,0.27,15,3,0.20,0,NA,NA,,,,,,No,,No birds,,283,75,0.27,H,Yes
459,"Piksa et al., 2016",Polish Carpathians and Krakowska-Wieluńska Upland,Poland,No,Cave,2010-2012,Lesser horseshoe bat,Rhinolophus hipposideros,Mammal,Scientific capturing,Nested PCR,Borellia spp. ,NA,NA,NA,0,NA,NA,0,NA,NA,4,0,0.00,0,No,NA,No,NA,No,,No birds,No,,,,L,No
460,"Piksa et al., 2016",Polish Carpathians and Krakowska-Wieluńska Upland,Poland,No,Cave,2010-2012,Mouse-eared myotis,Myotis myotis,Mammal,Scientific capturing,Nested PCR,Borellia spp. ,NA,NA,NA,0,NA,NA,0,NA,NA,1,0,0.00,0,No,NA,No,NA,No,,No birds,No,,,,L,No
461,"Piksa et al., 2016",Polish Carpathians and Krakowska-Wieluńska Upland,Poland,No,Cave,2010-2012,Bechstein's myotis,Myotis bechsteinii,Mammal,Scientific capturing,Nested PCR,Borellia spp. ,NA,NA,NA,1,0,0.00,0,NA,NA,0,NA,NA,0,No,NA,No,NA,No,,No birds,No,,,,L,No
462,"Piksa et al., 2016",Polish Carpathians and Krakowska-Wieluńska Upland,Poland,No,Cave,2010-2012,Daubenton's myotis,Myotis daubentonii,Mammal,Scientific capturing,Nested PCR,Borellia spp. ,NA,NA,Yes,0,NA,NA,0,NA,NA,2,1,0.50,1,No,NA,No,NA,No,,No birds,No,,,,L,No
463,"Pintore et al., 2015","Varzo (46°12N, 8°25E), Calasca-Castiglione (46°4N 8°7E) and Cannobio (46°4N, 08°42E)",Italy,No,Deciduous forests,April-September 2011,Ungulata spp.,Ungulata spp.,Mammal,Hunting,PCR,B. burgdorferi s.l.,NA,35,NA,0,NA,NA,0,NA,NA,25,0,0.00,NA,No,NA,No,NA,Yes,"Species: Rupicapra rupicapra, Cervus elaphus, Capreolus capreolus",No birds,No,,,,L,No
464,"Poupon et al., 2006",Col de Bretolet,Switzerland,No,,April-May and September-November 2002,Black redstart,Phoenicurus ochruros,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,3,NA,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,7,3,0.43,H,Yes
465,"Poupon et al., 2006",Col de Bretolet,Switzerland,No,,April-May and September-November 2002,Common redstart,Phoenicurus phoenicurus,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,4,NA,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,9,4,0.44,H,Yes
466,"Poupon et al., 2006",Col de Bretolet,Switzerland,No,,April-May and September-November 2002,Common blackbird,Turdus merula,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,2,NA,NA,1,NA,0,NA,NA,,,,,,No,,Migratory birds,,23,3,0.13,H,Yes
467,"Poupon et al., 2006",Col de Bretolet,Switzerland,No,,April-May and September-November 2002,European robin,Erithacus rubecula,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,18,NA,NA,2,NA,0,NA,NA,,,,,,No,,Migratory birds,,324,20,0.06,H,Yes
468,"Poupon et al., 2006",Col de Bretolet,Switzerland,No,,April-May and September-November 2002,Song thrush,Turdus philomelos,Bird,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,6,NA,NA,6,NA,0,NA,NA,,,,,,No,,Migratory birds,,44,12,0.27,H,Yes
469,"Radzijevskaja et al., 2013",Lithuania & Southern Norway,Lithuania & Norway,Yes,,,Striped field mouse,Apodemus agrarius,Mammal,,PCR,B. afzelii,,,NA,49,0,0.00,1,0,0.00,0,NA,NA,,,,,,No,,No birds,,50,0,0.00,H,Yes
470,"Radzijevskaja et al., 2013",Lithuania & Southern Norway,Lithuania & Norway,Yes,,,Long-tailed field mouse,Apodemus sylvaticus,Mammal,,PCR,B. afzelii,,,NA,53,0,0.00,9,0,0.00,0,NA,NA,,,,,,No,,No birds,,62,0,0.00,H,Yes
471,"Radzijevskaja et al., 2013",Lithuania & Southern Norway,Lithuania & Norway,Yes,,,Bank vole,Myodes glareolus,Mammal,,PCR,B. afzelii,,,No,88,20,0.23,54,18,0.33,0,NA,NA,,,,,,No,,No birds,,142,38,0.27,H,Yes
472,"Radzijevskaja et al., 2013",Lithuania & Southern Norway,Lithuania & Norway,Yes,,,Field vole,Microtus agrestis,Mammal,,PCR,B. afzelii,,,No,4,2,0.50,2,0,0.00,0,NA,NA,,,,,,No,,No birds,,6,2,0.33,H,Yes
473,"Radzijevskaja et al., 2013",Lithuania & Southern Norway,Lithuania & Norway,Yes,,,Common vole,Microtus arvalis,Mammal,,PCR,B. afzelii,,,No,30,6,0.20,20,7,0.35,0,NA,NA,,,,,,No,,No birds,,50,13,0.26,H,Yes
474,"Radzijevskaja et al., 2013",Lithuania & Southern Norway,Lithuania & Norway,Yes,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,PCR,B. afzelii,,,No,712,17,0.02,54,4,0.07,0,NA,NA,,,,,,No,,No birds,,766,21,0.03,H,Yes
475,"Ragagli et al., 2011",Pisa Province,Italy,No,,March-August 2006,Apodemus spp.,Apodemus spp.,Mammal,,PCR,B. afzelii,,,No,93,5,0.05,27,5,0.19,0,NA,NA,,,,,,Half,,No birds,,120,10,0.08,H,Yes
476,"Ragagli et al., 2011",Pisa Province,Italy,No,,March-August 2006,Podarcis spp.,Podarcis spp.,Reptile ,,PCR,B. lusitaniae,,,No,44,2,0.05,32,6,0.19,0,NA,NA,,,,,,Half,,No birds,,76,8,0.11,H,Yes
477,"Raileanu et al., 2021","Angelberger Forst, Bavaria",Germany ,No,Forest,September 2010 - January 2012 (hunting season),European roe deer,Capreolus capreolus,Mammal,Hunting,PCR,B. burgdorferi s.l. ,44,NA,Yes,0,NA,NA,0,NA,NA,331,16,0.05,NA,No,NA,BH,"Raileanu et al., 2021",No,,No birds,No,,,,L,No
478,"Richter & Matuschka, 2006",Germany,Germany ,No,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,PCR,B. burgdorferi s.l.,,,Yes,55,21,0.38,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,55,21,0.38,H,Yes
479,"Richter & Matuschka, 2006",Germany,Germany ,No,,,Long-tailed field mouse,Apodemus sylvaticus,Mammal,,PCR,B. burgdorferi s.l.,,,Yes,50,13,0.26,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,50,13,0.26,H,Yes
480,"Richter & Matuschka, 2006",Germany,Germany ,No,,,Sand lizard,Lacerta agilis,Reptile ,,PCR,B. burgdorferi s.l.,,,Yes,57,12,0.21,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,57,12,0.21,H,Yes
481,"Richter & Matuschka, 2006",Germany,Germany ,No,,,Common wall lizard,Podarcis muralis,Reptile ,,PCR,B. burgdorferi s.l.,,,Yes,139,44,0.32,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,139,44,0.32,H,Yes
482,"Richter & Matuschka, 2006",Germany,Germany ,No,,,Bank vole,Myodes glareolus,Mammal,,PCR,B. burgdorferi s.l.,,,Yes,81,23,0.28,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,81,23,0.28,H,Yes
483,"Richter et al., 1999",Magdeburg,Germany ,No,,June - September 1994,Brown rat,Rattus norvegicus,Mammal,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,50,43,0.86,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,50,43,0.86,H,Yes
484,"Richter et al., 1999",Magdeburg,Germany ,No,,June - September 1994,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,PCR & sequencing,B. burgdorferi s.l.,,,Yes,36,15,0.42,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,36,15,0.42,H,Yes
485,"Richter et al., 2004",North-Eastern France,France,No,,,Hazel dormouse,Muscardinus avellanarius,Mammal,,PCR,B. burgdorferi s.l.,,,Yes,47,NA,NA,0,NA,NA,0,NA,NA,,,,,,No,larvae tested as derived nymphs,No birds,,47,NA,NA,H,Yes
486,"Richter et al., 2004",North-Eastern France,France,No,,,Bank vole,Myodes glareolus,Mammal,,PCR,B. burgdorferi s.l.,,,Yes,15,NA,NA,0,NA,NA,0,NA,NA,,,,,,No,larvae tested as derived nymphs,No birds,,15,NA,NA,H,Yes
487,"Richter et al., 2004",North-Eastern France,France,No,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,PCR,B. burgdorferi s.l.,,,Yes,45,NA,NA,0,NA,NA,0,NA,NA,,,,,,No,larvae tested as derived nymphs,No birds,,45,NA,NA,H,Yes
488,"Richter et al., 2004",North-Eastern France,France,No,,,Long-tailed field mouse,Apodemus sylvaticus,Mammal,,PCR,B. burgdorferi s.l.,,,Yes,48,18,0.38,0,NA,NA,0,NA,NA,,,,,,No,larvae tested as derived nymphs,No birds,,48,18,0.38,H,Yes
489,"Richter et al., 2004",North-Eastern France,France,No,,,Garden dormouse,Eliomys quercinus,Mammal,,PCR,B. burgdorferi s.l.,,,Yes,628,497,0.79,0,NA,NA,0,NA,NA,,,,,,No,larvae tested as derived nymphs,No birds,,628,497,0.79,H,Yes
490,"Rijpkema et al., 1996",The Netherlands,The Netherlands,No,,Summer hunting season of 1995,European roe deer,Capreolus capreolus,Mammal,,PCR-RLB,B. burgdorferi s.l.,,,Yes,NA,NA,NA,0,NA,NA,106,24,0.23,,,,,,No,Only engorged ticks included,No birds,,106,24,0.23,H,Yes
491,"Schouls et al., 1999",The Netherlands,The Netherlands,No,,NA,European roe deer,Capreolus capreolus,Mammal,,PCR-RLB,B. burgdorferi s.l.,,,Yes,0,NA,NA,11,2,0.18,110,30,0.27,,,,,,No,,No birds,,121,32,0.26,H,Yes
492,"Sgroi et al., 2021a",Campania region,Italy,No,NA,October - December 2019,Wild boar,Sus scrofa,Mammal,Hunting,PCR,B. burgdorferi s.l.,1,93,NA,0,NA,NA,0,NA,NA,1,0,0.00,0,No,NA,T+BH,"Sgroi et al., 2021a",No,,No birds,No,,,,L,No
493,"Sinski et al., 2006",Mazury lakes,Poland,No,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,PCR,B. burgdorferi s.l.,,,No,330,19,0.06,36,2,0.06,0,NA,NA,,,,,,No,,No birds,,366,21,0.06,H,Yes
494,"Sinski et al., 2006",Mazury lakes,Poland,No,,,Common vole,Microtus arvalis,Mammal,,PCR,B. burgdorferi s.l.,,,No,35,3,0.09,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,35,3,0.09,H,Yes
495,"Sinski et al., 2006",Mazury lakes,Poland,No,,,Bank vole,Myodes glareolus,Mammal,,PCR,B. burgdorferi s.l.,,,No,440,20,0.05,52,4,0.08,0,NA,NA,,,,,,No,,No birds,,492,24,0.05,H,Yes
496,"Sukara et al., 2018","Titel, Surcin, Smederevo, Velika Gradiste, Smederevska Palanka, Velika Plana, Negotin, Svilajnac, Zajecar and Bela Palanka ",Serbia ,No,NA,January 2010 - February 2012,Golden jackal,Canis aureus,Mammal,Hunted and road-killed,PCR,Borellia spp. ,13,216,Yes,0,NA,NA,0,NA,NA,64,4,0.06,NA,No,NA,BH,"Sukara et al., 2018",No,,No birds,Yes,,,,L,No
497,"Szekeres et al., 2015","Gemenc (46°07′N, 18°46′E)",Hungary,No,Floodplain habitat,July 2010 - May 2013,Rodentia spp.,Rodentia spp.,Mammal,Scientific capturing,Multiplex qPCR,B. burgdorferi s.l.,NA,525,No,0,NA,NA,5,1,0.20,0,NA,NA,NA,No,NA,BH,"Szekeres et al., 2015",Yes,"Species: Apodemus flavicollis, Apodemus agrarius, Myodes glareolus, Microtus arvalis, Micromys minutus, Mus musculus",No birds,No,,,,L,No
498,"Szekeres et al., 2019","Szentendre, Budapest, Hajdúböszörmény, Kalocsa, Szigetszentmiklós, Kunpeszér, Balatonkenese",Hungary,No,Urban,April - August 2015 ,Northern white-breasted hedgehog,Erinaceus roumanicus,Mammal,Road-killed,qPCR,B. burgdorferi s.l.,8,23,Yes,0,NA,NA,0,NA,NA,47,16,0.34,NA,No,NA,BH,"Szekeres et al., 2019",No,,No birds,No,,,,L,No
499,"Talleklint & Jaenson, 1994",Sweden,Sweden,No,,,Eurasian elk,Alces alces,Mammal,,Phase-contrast microscopy,B. burgdorferi s.l.,,,NA,126,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,126,0,0.00,H,Yes
500,"Talleklint & Jaenson, 1994",Sweden,Sweden,No,,,Eurasian water shrew,Neomys fodiens,Mammal,,Phase-contrast microscopy,B. burgdorferi s.l.,,,No,6,4,0.67,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,6,4,0.67,H,Yes
501,"Talleklint & Jaenson, 1994",Sweden,Sweden,No,,,Common shrew,Sorex araneus,Mammal,,Phase-contrast microscopy,B. burgdorferi s.l.,,,No,232,84,0.36,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,232,84,0.36,H,Yes
502,"Talleklint & Jaenson, 1994",Sweden,Sweden,No,,,Eurasian pygmy shrew,Sorex minutus,Mammal,,Phase-contrast microscopy,B. burgdorferi s.l.,,,No,57,2,0.04,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,57,2,0.04,H,Yes
503,"Talleklint & Jaenson, 1994",Sweden,Sweden,No,,,Field vole,Microtus agrestis,Mammal,,Phase-contrast microscopy,B. burgdorferi s.l.,,,No,334,200,0.60,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,334,200,0.60,H,Yes
504,"Talleklint & Jaenson, 1994",Sweden,Sweden,No,,,Bank vole,Myodes glareolus,Mammal,,Phase-contrast microscopy,B. burgdorferi s.l.,,,No,1450,493,0.34,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,1450,493,0.34,H,Yes
505,"Talleklint & Jaenson, 1994",Sweden,Sweden,No,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,Phase-contrast microscopy,B. burgdorferi s.l.,,,No,301,101,0.34,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,301,101,0.34,H,Yes
506,"Talleklint & Jaenson, 1994",Sweden,Sweden,No,,,Long-tailed field mouse,Apodemus sylvaticus,Mammal,,Phase-contrast microscopy,B. burgdorferi s.l.,,,No,255,99,0.39,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,255,99,0.39,H,Yes
507,"Talleklint & Jaenson, 1994",Sweden,Sweden,No,,,European hare,Lepus europaeus,Mammal,,Phase-contrast microscopy,B. burgdorferi s.l.,,,No,236,35,0.15,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,236,35,0.15,H,Yes
508,"Talleklint & Jaenson, 1994",Sweden,Sweden,No,,,Mountain hare,Lepus timidus,Mammal,,Phase-contrast microscopy,B. burgdorferi s.l.,,,No,124,21,0.17,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,124,21,0.17,H,Yes
509,"Taragel'ova et al., 2008",Slovakia & Czech Republic,Slovakia & Czech Republic,Yes,,,Eurasian jay,Garrulus glandarius,Bird,,Nested PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,27,3,0.11,0,NA,NA,,,,,,No,,Resident birds,,28,3,0.11,H,Yes
510,"Taragel'ova et al., 2008",Slovakia & Czech Republic,Slovakia & Czech Republic,Yes,,,Eurasian blackcap,Sylvia atricapilla,Bird,,Nested PCR,B. burgdorferi s.l.,,,Yes,16,0,0.00,18,1,0.06,0,NA,NA,,,,,,No,,Resident birds,,34,1,0.03,H,Yes
511,"Taragel'ova et al., 2008",Slovakia & Czech Republic,Slovakia & Czech Republic,Yes,,,Hawfinch,Coccothraustes coccothraustes,Bird,,Nested PCR,B. burgdorferi s.l.,,,Yes,33,1,0.03,44,8,0.18,0,NA,NA,,,,,,No,,Resident birds,,77,9,0.12,H,Yes
512,"Taragel'ova et al., 2008",Slovakia & Czech Republic,Slovakia & Czech Republic,Yes,,,Common chaffinch,Fringilla coelebs,Bird,,Nested PCR,B. burgdorferi s.l.,,,Yes,71,1,0.01,21,1,0.05,0,NA,NA,,,,,,No,,Resident birds,,92,2,0.02,H,Yes
513,"Taragel'ova et al., 2008",Slovakia & Czech Republic,Slovakia & Czech Republic,Yes,,,Great tit,Parus major,Bird,,Nested PCR,B. burgdorferi s.l.,,,Yes,40,1,0.03,37,5,0.14,0,NA,NA,,,,,,No,,Resident birds,,77,6,0.08,H,Yes
514,"Taragel'ova et al., 2008",Slovakia & Czech Republic,Slovakia & Czech Republic,Yes,,,Dunnock,Prunella modularis,Bird,,Nested PCR,B. burgdorferi s.l.,,,Yes,16,2,0.13,63,20,0.32,0,NA,NA,,,,,,No,,Resident birds,,79,22,0.28,H,Yes
515,"Taragel'ova et al., 2008",Slovakia & Czech Republic,Slovakia & Czech Republic,Yes,,,Common blackbird,Turdus merula,Bird,,Nested PCR,B. burgdorferi s.l.,,,Yes,146,64,0.44,383,126,0.33,0,NA,NA,,,,,,No,,Resident birds,,529,190,0.36,H,Yes
516,"Taragel'ova et al., 2008",Slovakia & Czech Republic,Slovakia & Czech Republic,Yes,,,Song thrush,Turdus philomelos,Bird,,Nested PCR,B. burgdorferi s.l.,,,Yes,129,67,0.52,181,23,0.13,0,NA,NA,,,,,,No,,Resident birds,,310,90,0.29,H,Yes
517,"Taragel'ova et al., 2008",Slovakia & Czech Republic,Slovakia & Czech Republic,Yes,,,European robin,Erithacus rubecula,Bird,,Nested PCR,B. burgdorferi s.l.,,,Yes,114,0,0.00,24,1,0.04,0,NA,NA,,,,,,No,,Resident birds,,138,1,0.01,H,Yes
518,"Toma et al., 2014",Ventotene Island  ,Italy,No,NA,May 2010 or 2011,Melodious warbler,Hippolais polyglotta,Bird,Scientific capturing,Real-time PCR,B. burgdorferi s.l.,1,1,NA,0,NA,NA,1,0,0.00,0,NA,NA,0,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
519,"Tomassone et al., 2017","Tuscan Emilian Apennine National Park (44°12′N, 10°22′E)",Italy,No,Open meadows with rocks and bushes; hiking trails with stone walls and tall grass; areas of exposed rocks and mixed deciduous woods; gravelly soil areas with scarce vegetation,April - August 2011-2013,Common wall lizard,Podarcis muralis,Reptile ,Scientific capturing,PCR,B. burgdorferi s.l.,45,107,Yes,142,5,0.04,25,2,0.08,0,NA,NA,6,Yes ,95% CI: larvae > 1.5-8.9% and nymphs > 1.0-26.0%,BH,"Tomassone et al., 2017",No,,No birds,No,,,,L,No
520,"Wegner et al., 1997",Byalistok province,Poland,No,,May-October 1994,Root vole,Microtus oeconomus,Mammal,,IFA,B. burgdorferi s.l.,,,NA,2,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,2,0,0.00,H,Yes
521,"Wegner et al., 1997",Byalistok province,Poland,No,,May-October 1994,Common shrew,Sorex araneus,Mammal,,IFA,B. burgdorferi s.l.,,,NA,24,0,0.00,7,0,0.00,0,NA,NA,,,,,,No,,No birds,,31,0,0.00,H,Yes
522,"Wegner et al., 1997",Byalistok province,Poland,No,,May-October 1994,Red deer,Cervus elaphus,Mammal,,IFA,B. burgdorferi s.l.,,,No,0,NA,NA,0,NA,NA,195,2,0.01,,,,,,No,,No birds,,195,2,0.01,H,Yes
523,"Wegner et al., 1997",Byalistok province,Poland,No,,May-October 1994,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,IFA,B. burgdorferi s.l.,,,No,22,1,0.05,5,0,0.00,0,NA,NA,,,,,,No,,No birds,,27,1,0.04,H,Yes
524,"Wegner et al., 1997",Byalistok province,Poland,No,,May-October 1994,European roe deer,Capreolus capreolus,Mammal,,IFA,B. burgdorferi s.l.,,,No,0,NA,NA,0,NA,NA,44,4,0.09,,,,,,No,,No birds,,44,4,0.09,H,Yes
525,"Wegner et al., 1997",Byalistok province,Poland,No,,May-October 1994,Wild boar,Sus scrofa,Mammal,,IFA,B. burgdorferi s.l.,,,No,0,NA,NA,0,NA,NA,7,2,0.29,,,,,,No,,No birds,,7,2,0.29,H,Yes
526,"Wegner et al., 1997",Byalistok province,Poland,No,,May-October 1994,Bank vole,Myodes glareolus,Mammal,,IFA,B. burgdorferi s.l.,,,No,38,8,0.21,8,0,0.00,0,NA,NA,,,,,,No,,No birds,,46,8,0.17,H,Yes
527,"Wodecka et al., 2016","Poniec, Sieraków and Oborniki",Poland,No,NA,September - November 2009-2011,Raccoon dog,Nyctereutes procyonoides,Mammal,Hunting,Nested PCR,B. burgdorferi s.l.,18,28,Yes,39,8,0.21,70,28,0.40,19,12,0.63,10,No,NA,BH,"Wudecka et al., 2016",No,,No birds,No,,,,L,No
528,"Wodecka et al., 2016","Poniec, Sieraków and Oborniki",Poland,No,NA,September - November 2009-2011,European badger,Meles meles,Mammal,Hunting,Nested PCR,B. burgdorferi s.l.,1,34,Yes,2,1,0.50,5,2,0.40,0,NA,NA,1,No,NA,BH,"Wudecka et al., 2016",No,,No birds,No,,,,L,No
